X;Y;;;;;;;;;;;
-58,39829843;-34,6333901;;;;;;;;;;;
-58,39685995;-34,63304644;;;;;;;;;;;
-58,39139639;-34,6317084;;;;;;;;;;;
-58,38133992;-34,6307393;;;;;;;;;;;
-58,38673852;-34,63122534;;;;;;;;;;;
-58,38266613;-34,63085955;;;;;;;;;;;
-58,38552508;-34,63111831;;;;;;;;;;;
-58,38410881;-34,63099197;;;;;;;;;;;
-58,38903294;-34,63142712;;;;;;;;;;;
-58,41059086;-34,62269261;;;;;;;;;;;
-58,41047545;-34,62373771;;;;;;;;;;;
;;;;;;;;;;;;
-58,44296657;-34,56931095;;;;;;;;;;;
-58,3813866;-34,61079405;;;;;;;;;;;
-58,38226758;-34,59676596;;;;;;;;;;;
-58,38206636;-34,59158553;;;;;;;;;;;
-58,38284332;-34,59283006;;;;;;;;;;;
-58,38161983;-34,60731431;;;;;;;;;;;
-58,3812059;-34,61187489;;;;;;;;;;;
-58,38166564;-34,60612104;;;;;;;;;;;
-58,3822507;-34,59010673;;;;;;;;;;;
-58,38173044;-34,6049874;;;;;;;;;;;
-58,38159013;-34,60137221;;;;;;;;;;;
-58,38199707;-34,60028649;;;;;;;;;;;
-58,38146433;-34,60965401;;;;;;;;;;;
-58,38122183;-34,6130912;;;;;;;;;;;
-58,38122183;-34,6130912;;;;;;;;;;;
-58,38151156;-34,60254161;;;;;;;;;;;
-58,38170982;-34,5978726;;;;;;;;;;;
-58,38199707;-34,60028649;;;;;;;;;;;
-58,47127252;-34,6089194;;;;;;;;;;;
-58,46496807;-34,60613412;;;;;;;;;;;
-58,51589272;-34,65042376;;;;;;;;;;;
-58,51520473;-34,64980863;;;;;;;;;;;
-58,47368482;-34,5761079;;;;;;;;;;;
-58,47680924;-34,57257682;;;;;;;;;;;
-58,48622081;-34,56218414;;;;;;;;;;;
-58,43840229;-34,61279302;;;;;;;;;;;
-58,44339837;-34,60284957;;;;;;;;;;;
-58,44187153;-34,60436715;;;;;;;;;;;
-58,44397884;-34,60227261;;;;;;;;;;;
-58,439302;-34,61079867;;;;;;;;;;;
-58,44011585;-34,60774118;;;;;;;;;;;
-58,42151692;-34,59643112;;;;;;;;;;;
-58,42054559;-34,59157768;;;;;;;;;;;
-58,42221348;-34,6005391;;;;;;;;;;;
-58,42106007;-34,59416332;;;;;;;;;;;
-58,42053375;-34,61883779;;;;;;;;;;;
-58,41534401;-34,61838389;;;;;;;;;;;
-58,42245424;-34,61897895;;;;;;;;;;;
-58,40837648;-34,59308333;;;;;;;;;;;
-58,40022078;-34,58653139;;;;;;;;;;;
-58,40905811;-34,59448626;;;;;;;;;;;
-58,43971127;-34,59332623;;;;;;;;;;;
-58,50539917;-34,57493831;;;;;;;;;;;
-58,50769899;-34,57629625;;;;;;;;;;;
-58,51267166;-34,57924334;;;;;;;;;;;
-58,5099965;-34,57765796;;;;;;;;;;;
-58,50424503;-34,57425714;;;;;;;;;;;
-58,49785762;-34,64931992;;;;;;;;;;;
-58,47854502;-34,63699313;;;;;;;;;;;
-58,49904274;-34,64841436;;;;;;;;;;;
-58,49754581;-34,64703471;;;;;;;;;;;
-58,47433664;-34,63521934;;;;;;;;;;;
-58,47639233;-34,63608266;;;;;;;;;;;
-58,50649824;-34,65504509;;;;;;;;;;;
-58,50961552;-34,65730678;;;;;;;;;;;
-58,5092357;-34,65704129;;;;;;;;;;;
-58,51232238;-34,65903531;;;;;;;;;;;
-58,49829529;-34,64772549;;;;;;;;;;;
-58,51049519;-34,65789109;;;;;;;;;;;
-58,50792361;-34,65609008;;;;;;;;;;;
-58,48487914;-34,63991846;;;;;;;;;;;
-58,50130153;-34,65049602;;;;;;;;;;;
-58,4936639;-34,64409367;;;;;;;;;;;
-58,48288119;-34,63897858;;;;;;;;;;;
-58,50220248;-34,65133109;;;;;;;;;;;
-58,50571034;-34,65446417;;;;;;;;;;;
-58,47119587;-34,63411887;;;;;;;;;;;
-58,48780465;-34,64129877;;;;;;;;;;;
-58,49979438;-34,6491071;;;;;;;;;;;
-58,51419928;-34,66013039;;;;;;;;;;;
-58,48954296;-34,64212144;;;;;;;;;;;
-58,50463258;-34,65365517;;;;;;;;;;;
-58,50402451;-34,65307361;;;;;;;;;;;
-58,47335219;-34,63486294;;;;;;;;;;;
-58,50311873;-34,65220742;;;;;;;;;;;
-58,50054543;-34,64979927;;;;;;;;;;;
-58,47227998;-34,63447471;;;;;;;;;;;
-58,47000969;-34,63375436;;;;;;;;;;;
-58,51551444;-34,66087611;;;;;;;;;;;
-58,50719814;-34,65555746;;;;;;;;;;;
-58,40077518;-34,62097816;;;;;;;;;;;
-58,38857511;-34,63947924;;;;;;;;;;;
-58,38337341;-34,63274637;;;;;;;;;;;
-58,39625899;-34,64254077;;;;;;;;;;;
-58,39147433;-34,64082486;;;;;;;;;;;
-58,38811828;-34,63899945;;;;;;;;;;;
-58,40174664;-34,64578524;;;;;;;;;;;
-58,40174664;-34,64578524;;;;;;;;;;;
-58,40348551;-34,64801404;;;;;;;;;;;
-58,3724468;-34,59614228;;;;;;;;;;;
-58,37095764;-34,59838522;;;;;;;;;;;
-58,37026769;-34,60300622;;;;;;;;;;;
-58,37019505;-34,60187942;;;;;;;;;;;
-58,37025705;-34,60652286;;;;;;;;;;;
-58,37202621;-34,59717943;;;;;;;;;;;
-58,36985116;-34,60533131;;;;;;;;;;;
-58,37303143;-34,59499826;;;;;;;;;;;
-58,37015991;-34,60419172;;;;;;;;;;;
-58,37051091;-34,60065321;;;;;;;;;;;
-58,37063978;-34,5995002;;;;;;;;;;;
-58,37185452;-34,59761763;;;;;;;;;;;
-59,56631042;-35,52602058;;;;;;;;;;;
-59,56647025;-35,5259137;;;;;;;;;;;
-59,56647026;-35,5259137;;;;;;;;;;;
-59,56646064;-35,52590309;;;;;;;;;;;
-59,56585844;-35,52632153;;;;;;;;;;;
-59,56646064;-35,52590314;;;;;;;;;;;
-59,56631048;-35,52602054;;;;;;;;;;;
-58,36574701;-34,61806226;;;;;;;;;;;
-58,36632981;-34,61236392;;;;;;;;;;;
-58,41146399;-34,61303681;;;;;;;;;;;
-58,40155204;-34,61218007;;;;;;;;;;;
-58,37345266;-34,61024442;;;;;;;;;;;
-58,39330695;-34,61160244;;;;;;;;;;;
-58,38059718;-34,61072983;;;;;;;;;;;
-58,40871575;-34,61261018;;;;;;;;;;;
-58,38186484;-34,61083132;;;;;;;;;;;
